ProblemName,Permutation,T_nlp-bb-no-conflicts,T_nlp-bb-no-nlconflicts,T_nlp-bb-no-verifyproof,N_nlp-bb-no-conflicts,N_nlp-bb-no-nlconflicts,N_nlp-bb-no-verifyproof,DI_nlp-bb-no-conflicts,DI_nlp-bb-no-nlconflicts,DI_nlp-bb-no-verifyproof,TQ+1_nlp-bb-no-conflicts,TQ+1_nlp-bb-no-nlconflicts,TQ+1_nlp-bb-no-verifyproof,NQ+100_nlp-bb-no-conflicts,NQ+100_nlp-bb-no-nlconflicts,NQ+100_nlp-bb-no-verifyproof,DIQ_nlp-bb-no-conflicts,DIQ_nlp-bb-no-nlconflicts,DIQ_nlp-bb-no-verifyproof
autocorr_bern40-30,2,7200,7200,7200,1112,1091,1092,690078.46,690185.79,690127.84,1,1,1,1,0.982673267326733,0.983498349834984,1,1.00015553303895,1.00007155708063
autocorr_bern40-40,0,7200,7200,7200,761,777,778,690067.93,690057.92,690057.27,1,1,1,1,1.01858304297329,1.01974448315912,1,0.99998549418171,0.999984552245458
autocorr_bern40-40,1,7200,7200,7200,763,778,778,690108.41,690060.23,690063.64,1,1,1,1,1.01738122827346,1.01738122827346,1,0.999930184882111,0.999935126134747
autocorr_bern40-40,2,7200,7200,7200,761,779,779,690058.76,690068.45,690070.44,1,1,1,1,1.02090592334495,1.02090592334495,1,1.00001404228243,1.00001692609482
autocorr_bern45-05,0,7200,7200,7200,76313,73214,72833,658824.66,110854.69,110790.7,1,1,1,1,0.959444073652389,0.954458011071415,1,0.168261294287315,0.168164166775421
autocorr_bern45-05,1,7200,7200,7200,75266,72732,73292,658823.99,110827.39,111121.35,1,1,1,1,0.966377411564896,0.973807817848897,1,0.168220027931891,0.168666216905672
autocorr_bern45-05,2,7200,7200,7200,75649,72661,73153,658823.24,111310.6,110962.6,1,1,1,1,0.960553934705409,0.967049069954719,1,0.168953663504645,0.168425448986894
autocorr_bern45-11,0,7200,7200,7200,9053,7803,9777,684254.4,684284.95,684286.25,1,1,1,1,0.863432754288212,1.07909974871627,1,1.00004464713709,1.00004654701526
autocorr_bern45-11,1,7200,7200,7200,10018,9118,9923,684251.46,684292.78,684287.02,1,1,1,1,0.911049614548329,0.990610792646768,1,1.0000603871565,1.00005196919858
autocorr_bern45-11,2,7200,7200,7200,9201,8134,9212,684252.24,684286.39,684286.24,1,1,1,1,0.88528115256424,1.00118266853027,1,1.00004990849573,1.00004968927833
autocorr_bern45-23,0,7200,7200,7200,1344,1338,2112,689289,689329.45,689320.05,1,1,1,1,0.99584487534626,1.53185595567867,1,1.00005868365809,1.0000450464174
autocorr_bern45-23,1,7200,7200,7200,1345,1339,1337,689287.41,689322.26,689328.36,1,1,1,1,0.995847750865052,0.994463667820069,1,1.00005055946111,1.00005940918027
autocorr_bern45-23,2,7200,7200,7200,1859,1336,1600,689277.28,689323.52,689320.86,1,1,1,1,0.733027054619704,0.867789688616641,1,1.00006708475869,1.00006322564411
autocorr_bern45-34,0,7200,7200,7200,32,32,32,708537.89,710271.91,709411.19,1,1,1,1,1,1,1,1.0024473214834,1.00123253817802
autocorr_bern45-34,1,7200,7200,7200,32,32,32,710660.26,709715.46,709327.24,1,1,1,1,1,1,1,0.998670532104891,0.998124251382792
autocorr_bern45-34,2,7200,7200,7200,32,32,32,708864.44,709731.52,711995.93,1,1,1,1,1,1,1,1.00122319579185,1.00441761474168
autocorr_bern45-45,0,7200,7200,7200,375,596,376,690860.32,690842.81,690861.05,1,1,1,1,1.46526315789474,1.00210526315789,1,0.999974654789842,1.00000105665354
autocorr_bern45-45,1,7200,7200,7200,375,375,376,690862.68,690857.82,690855.5,1,1,1,1,1,1.00210526315789,1,0.999992965316928,0.999989607196614
autocorr_bern45-45,2,7200,7200,7200,376,377,376,690861.91,692590.59,690852.63,1,1,1,1,1.00210084033613,1,1,1.00250220771326,0.999986567503772
autocorr_bern50-06,0,7200,7200,7200,39861,39224,38861,674283.42,674176,674175.76,1,1,1,1,0.984059457971522,0.974975601211181,1,0.999840690135908,0.999840334202493
autocorr_bern50-06,1,7200,7200,7200,39494,38596,39418,674284.69,674189.44,674190.13,1,1,1,1,0.977319795928676,0.998080517250088,1,0.999858739192195,0.999859762498834
autocorr_bern50-06,2,7200,7200,7200,40486,38942,38295,674284.27,674175.96,674177.22,1,1,1,1,0.961957325186025,0.946015867540531,1,0.999839370418651,0.999841239066722
autocorr_bern50-13,0,7200,7200,7200,5034,5512,4526,685802,685815.53,685815.74,1,1,1,1,1.09310479158551,0.901051811453058,1,1.00001972872637,1.0000200349372
autocorr_bern50-13,1,7200,7200,7200,3742,5685,3816,685804.27,685816.18,685815.89,1,1,1,1,1.50572618427902,1.0192608016658,1,1.00001736647105,1.00001694360987
autocorr_bern50-13,2,7200,7200,7200,3734,3777,5020,685804.98,685816.61,685816.16,1,1,1,1,1.01121544079291,1.33541992696922,1,1.00001695817374,1.00001630201052
autocorr_bern50-25,0,7200,7200,7200,816,820,817,690014.1,690100.36,690104.54,1,1,1,1,1.00436681222707,1.00109170305677,1,1.00012501193816,1.00013106978539
autocorr_bern50-25,1,7200,7200,7200,809,815,813,690016.11,690105.77,690094.55,1,1,1,1,1.00660066006601,1.004400440044,1,1.00012993899519,1.00011367850527
autocorr_bern50-25,2,7200,7200,7200,818,814,816,690012.54,690102.27,690096.61,1,1,1,1,0.995642701525054,0.997821350762527,1,1.00013004111491,1.00012183836543
autocorr_bern50-38,0,7200,7200,7200,1,1,1,727829.26,727004.37,724221.82,1,1,1,1,1,1,1,0.998866643531204,0.995043562826809
autocorr_bern50-38,1,7200,7200,7200,1,1,1,725321.58,729430.1,725265.15,1,1,1,1,1,1,1,1.00566441163932,0.999922200026091
autocorr_bern50-38,2,7200,7200,7200,1,1,1,723395.12,724528.42,726828.2,1,1,1,1,1,1,1,1.00156664037214,1.00474578816622
autocorr_bern50-50,0,7200,7200,7200,1,1,1,736911.53,738233.77,735817.35,1,1,1,1,1,1,1,1.00179429951381,0.998515181327126
autocorr_bern50-50,1,7200,7200,7200,1,1,1,742153.88,739040.74,742174.16,1,1,1,1,1,1,1,0.995805263458301,1.0000273258694
autocorr_bern50-50,2,7200,7200,7200,1,1,1,745155.88,738936.17,741985,1,1,1,1,1,1,1,0.991653142427058,0.995744675597272
autocorr_bern55-06,0,7200,7200,7200,36013,35805,34393,674944.75,128568.12,128799.05,1,1,1,1,0.994240301276549,0.955140808019273,1,0.190486880592819,0.190829027116664
