ProblemName,Permutation,T_lp-bb,T_lp-bb-confgraph,T_lp-bb-no-lp,N_lp-bb,N_lp-bb-confgraph,N_lp-bb-no-lp,DI_lp-bb,DI_lp-bb-confgraph,DI_lp-bb-no-lp,TQ+1_lp-bb,TQ+1_lp-bb-confgraph,TQ+1_lp-bb-no-lp,NQ+100_lp-bb,NQ+100_lp-bb-confgraph,NQ+100_lp-bb-no-lp,DIQ_lp-bb,DIQ_lp-bb-confgraph,DIQ_lp-bb-no-lp
autocorr_bern45-05,0,7200,7200,7200,1045496,991065,962976,535039.32,535689.39,542562.29,1,1,1,1.08568378819532,1.02916592252325,1,0.986134366249449,0.987332514392034,1
autocorr_bern45-05,1,7200,7200,7200,818156,799636,821226,524705.78,524067.84,526870.52,1,1,1,0.996262141950943,0.973713239322754,1,0.995891324494678,0.9946805146737,1
autocorr_bern45-05,2,7200,7200,7200,837766,841706,855693,521863.54,521811.27,516225.2,1,1,1,0.979052177337277,0.983656094406007,1,1.01092224866202,1.01082099440322,1
autocorr_bern45-11,0,7200,7200,7200,53331,52876,53532,658404.02,658440.11,658438.41,1,1,1,0.996252237470167,0.987768496420048,1,0.999947770361696,1.00000258186639,1
autocorr_bern45-11,1,7200,7200,7200,52731,52463,53530,658516.05,658531.55,658498.02,1,1,1,0.985101622226366,0.980104419168376,1,1.00002738049235,1.00005091890785,1
autocorr_bern45-11,2,7200,7200,7200,52292,51836,50751,658634.01,658685.28,658775.74,1,1,1,1.03030422213919,1.02133684686634,1,0.999784858501316,0.999862684682347,1
autocorr_bern45-23,0,7200,7200,7200,230,230,230,728083.31,726832.04,727037.75,1,1,1,1,1,1,1.00143810964424,0.999717057332993,1
autocorr_bern45-23,1,7200,7200,7200,230,230,230,717432.12,716732.28,720735.5,1,1,1,1,1,1,0.995416654237234,0.994445646148969,1
autocorr_bern45-23,2,7200,7200,7200,230,230,230,713145.62,713520.01,711499.31,1,1,1,1,1,1,1.00231386029032,1.00284005897349,1
autocorr_bern45-45,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern50-06,0,7200,7200,7200,615996,618926,618825,617146.23,617156.34,616537.37,1,1,1,0.995429171547441,1.00016318616957,1,1.00098754759991,1.00100394563269,1
autocorr_bern50-06,1,7200,7200,7200,619656,619221,670193,450243.82,449855.75,234596.93,1,1,1,0.924604613206463,0.923955643278387,1,1.91922298386428,1.91756878489416,1
autocorr_bern50-06,2,7200,7200,7200,623547,625896,593334,149091.55,615428.78,125025.9,1,1,1,1.05091214861299,1.05487046579738,1,1.19248531704231,4.92241031658241,1
autocorr_bern50-13,0,7200,7200,7200,27,27,27,748302,745001.09,748104.31,1,1,1,1,1,1,1.00026425459305,0.995851888622323,1
autocorr_bern50-13,1,7200,7200,7200,27,27,27,748235.35,746820.41,744795.35,1,1,1,1,1,1,1.00461871841708,1.00271894823189,1
autocorr_bern50-13,2,7200,7200,7200,27,27,27,748223.94,750766.51,748254.15,1,1,1,1,1,1,0.999959626017443,1.00335762922264,1
autocorr_bern50-25,0,7200,7200,7200,1667,1704,1366,669539.8,668910.23,671040.32,1,1,1,1.20532060027285,1.23055934515689,1,0.997763889955227,0.996825689997287,1
autocorr_bern50-25,1,7200,7200,7200,1684,1711,1356,669491.7,668894.34,671097.41,1,1,1,1.22527472527473,1.24381868131868,1,0.997607336914026,0.996717212781375,1
autocorr_bern50-25,2,7200,7200,7200,1680,1711,1364,669510.51,668892.06,671058.68,1,1,1,1.21584699453552,1.2370218579235,1,0.99769294393152,0.996771340473534,1
autocorr_bern50-38,1,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern50-38,2,7200,7200,7200,,,,720000,720000,720000,1,1,1,0,0,0,1,1,1
autocorr_bern50-50,0,7200,7200,7200,623,624,627,678686.69,678665.25,678690.1,1,1,1,0.994497936726272,0.995873452544704,1,0.999994975615527,0.999963385350692,1
autocorr_bern50-50,1,7200,7200,7200,627,622,625,678683.09,678726.54,678657.53,1,1,1,1.00275862068966,0.995862068965517,1,1.00003766258955,1.0001016860448,1
autocorr_bern50-50,2,7200,7200,7200,624,628,627,678682.43,678641.27,678686.57,1,1,1,0.995873452544704,1.00137551581843,1,0.999993899982432,0.999933253430962,1
autocorr_bern55-06,0,7200,7200,7200,411382,410443,422642,362554.85,363380.49,385983.47,1,1,1,0.973364368811237,0.971143155872849,1,0.939301493921488,0.941440549254609,1
autocorr_bern55-06,1,7200,7200,7200,480353,481804,487076,261395.54,260761.13,534682.64,1,1,1,0.986200059116213,0.989178448856266,1,0.488879796059958,0.487693279138444,1
autocorr_bern55-06,2,7200,7200,7200,419246,416782,472967,630374.9,630390.36,630233.21,1,1,1,0.886441032665563,0.881232468128193,1,1.00022482153868,1.00024935214061,1
autocorr_bern55-14,0,7200,7200,7200,19,19,19,731266.28,732035.28,732960.22,1,1,1,1,1,1,0.997688905954542,0.998738076126423,1
autocorr_bern55-14,1,7200,7200,7200,19,19,19,729872.84,732171.5,732287.54,1,1,1,1,1,1,0.996702524803303,0.999841537656096,1
